file,stage,reason
S1:azure.com-apimanagement-2016-10-10-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-2018-06-01-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-apimanagement-2019-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-apimanagement-apimapisByTags-2018-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimapisByTags-2019-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimissues-2018-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimissues-2018-06-01-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-apimissues-2019-01-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-apimnetworkstatus-2016-10-10-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimnetworkstatus-2017-03-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-apimnetworkstatus-2018-01-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-apimnetworkstatus-2018-06-01-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-apimnetworkstatus-2019-01-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-apimanagement-apimpolicysnippets-2018-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimpolicysnippets-2019-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimproductsByTags-2018-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimproductsByTags-2019-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimregions-2018-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimregions-2019-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimreports-2016-10-10-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimtagresources-2017-03-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimtagresources-2018-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimtagresources-2018-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-apimtagresources-2019-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-apimanagement-definitions-1.0-swagger.yaml,a_validate,empty_paths
S1:azure.com-apimanagement-definitions-2019-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-applicationinsights-aiOperations_API-2015-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-applicationinsights-webTestLocations_API-2015-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-applicationinsights-workbookOperations_API-2018-06-17-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-authorization-authorization-ClassicAdminCalls-2015-06-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-authorization-authorization-ClassicAdminCalls-2015-07-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-authorization-authorization-ElevateAccessCalls-2015-07-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-authorization-authorization-ProviderOperationsCalls-2015-07-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-authorization-authorization-ProviderOperationsCalls-2018-01-01-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-automation-definitions-2018-06-10-swagger.yaml,a_validate,empty_paths
S1:azure.com-automation-dscNodeCounts-2018-01-15-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-automation-linkedWorkspace-2015-10-31-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-automation-softwareUpdateConfigurationMachineRun-2017-05-15-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-automation-softwareUpdateConfigurationRun-2017-05-15-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-automation-sourceControlSyncJobStreams-2017-05-15-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-ApplicationOperationResults-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-AzureBridge-2016-01-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-Backup-2016-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-Backup-2018-09-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-CommerceAdmin-2015-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-Compute-2015-12-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-ComputeOperationResults-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-DelegatedProvider-2015-11-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-DelegatedProviderOffer-2015-11-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Disks-2018-07-30-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Drive-2018-10-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Drive-2019-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-EdgeGateway-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-EdgeGatewayPool-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Fabric-2016-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-FabricLocation-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-FileShare-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Gallery-2015-04-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-InfrastructureInsights-2016-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-KeyVault-2017-02-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-LoadBalancers-2015-06-15-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-LogicalNetwork-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-LogicalSubnet-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-MacAddressPool-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Manifest-2015-11-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-NetworkOperationResults-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Operations-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-PublicIpAddresses-2015-06-15-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-Quota-2015-11-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Quotas-2017-02-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-ResourceHealth-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-ServiceHealth-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-SlbMuxInstance-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-StorageOperationResults-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-StoragePool-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-StorageSubSystem-2018-10-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-StorageSystem-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Update-2016-05-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-UpdateLocations-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-VirtualNetworks-2015-06-15-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-Volume-2016-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Volume-2018-10-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-Volume-2019-05-01-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-azsadmin-acquisitions-2015-12-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-acquisitions-2019-08-08-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-storage-2015-12-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azsadmin-storage-2019-08-08-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-azurestack-AzureStack-2017-06-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-blueprint-assignmentOperation-2018-11-01-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-cognitiveservices-AnomalyDetector-1.0-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-cognitiveservices-AnomalyFinder-2.0-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-cognitiveservices-BasicRegions-2017-08-30-swagger.yaml,a_validate,empty_paths
S1:azure.com-cognitiveservices-ExtendedRegions-2017-08-30-swagger.yaml,a_validate,empty_paths
S1:azure.com-cognitiveservices-FormRecognizerReceiptOcr-1.0-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-cognitiveservices-InkRecognizer-1.0-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-cognitiveservices-LUIS-Authoring-2.0-swagger.yaml,a_validate,parse_error: ConstructorError
S1:azure.com-cognitiveservices-LUIS-Programmatic-v2.0-swagger.yaml,a_validate,parse_error: ConstructorError
S1:azure.com-cognitiveservices-LUIS-Runtime-2.0-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-cognitiveservices-LUIS-Runtime-v2.0-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-cognitiveservices-Parameters-2017-08-30-swagger.yaml,a_validate,empty_paths
S1:azure.com-cognitiveservices-QnAMakerRuntime-4.0-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-commerce-2015-06-01-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-common-types-1.0-swagger.yaml,a_validate,empty_paths
S1:azure.com-compute-skus-2017-09-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-compute-skus-2019-04-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-compute-swagger-2015-11-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-consumption-2017-04-24-preview-swagger.yaml,c_min_ops,only_2_ops
S1:azure.com-containerservice-location-2017-09-30-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-containerservice-location-2019-04-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-containerservice-location-2019-06-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-containerservice-location-2019-08-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-containerservices-location-2017-09-30-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-datafactory-DataFlow-2018-06-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-Dataset-2017-09-01-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-Dataset-2018-06-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-IntegrationRuntime-2017-09-01-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-IntegrationRuntime-2018-06-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-LinkedService-2017-09-01-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-LinkedService-2018-06-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-Pipeline-2017-09-01-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-Pipeline-2018-06-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-Trigger-2017-09-01-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datafactory-Trigger-2018-06-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Commands-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Commands-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Common-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Common-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Common-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Common-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Common-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceMySqlTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceMySqlTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourcePostgreSqlSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourcePostgreSqlSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceSqlServerTask-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceSqlServerTask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceSqlServerTask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceSqlServerTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToSourceSqlServerTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetAzureDbForMySqlTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetAzureDbForMySqlTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetAzureDbForPostgreSqlSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetAzureDbForPostgreSqlSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlDbTask-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlDbTask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlDbTask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlDbTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlDbTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlMITask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlMITask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlMITask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlMITask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlMiSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlMiSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlSqlDbSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ConnectToTargetSqlSqlDbSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Files-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetTdeCertificatesSqlTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetTdeCertificatesSqlTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlTask-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlTask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlTask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-GetUserTablesSqlTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateMySqlAzureDbForMySqlSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateMySqlAzureDbForMySqlSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigratePostgreSqlAzureDbForPostgreSqlSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigratePostgreSqlAzureDbForPostgreSqlSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSchemaSqlServerSqlDbTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbTask-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbTask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbTask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlDbTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlMITask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlMITask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlMITask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlMITask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlMiSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSqlServerSqlMiSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrateSsisTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrationValidation-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrationValidation-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrationValidation-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrationValidation-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MigrationValidation-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-MongoDbTasks-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-OracleAzureDbPostgreSqlSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Projects-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Projects-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Projects-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Projects-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Projects-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ResourceSkus-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ResourceSkus-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ResourceSkus-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ResourceSkus-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ResourceSkus-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ServiceFeatureOCITask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ServiceTasks-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Services-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Services-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Services-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Services-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Services-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Tasks-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Tasks-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Tasks-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Tasks-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-Tasks-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-TasksCommon-2017-11-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-TasksCommon-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-TasksCommon-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-TasksCommon-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-TasksCommon-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateMigrationInputSqlServerSqlMITask-2018-03-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateMigrationInputSqlServerSqlMITask-2018-03-31-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateMigrationInputSqlServerSqlMITask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateMigrationInputSqlServerSqlMITask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateMigrationInputSqlServerSqlMiSyncTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateMigrationInputSqlServerSqlMiSyncTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateSyncMigrationInputSqlServerTask-2018-04-19-swagger.yaml,a_validate,empty_paths
S1:azure.com-datamigration-ValidateSyncMigrationInputSqlServerTask-2018-07-15-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-dynamicstelemetry-2019-01-24-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-eventgrid-AppConfiguration-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-ContainerRegistry-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-EventHub-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-IotHub-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-KeyVault-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-Maps-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-MediaServices-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-Resources-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-ServiceBus-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-SignalRService-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-eventgrid-Storage-2018-01-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-frontdoor-network-2018-02-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-frontdoor-network-2019-03-01-swagger.yaml,a_validate,empty_paths
S1:azure.com-guestconfiguration-definitions-2018-06-30-preview-swagger.yaml,a_validate,empty_paths
S1:azure.com-guestconfiguration-guestconfiguration_NotImplemented-2018-06-30-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-hdinsight-capabilities-2015-03-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-hdinsight-operations-2015-03-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-hdinsight-operations-2018-06-01-preview-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-keyvault-providers-2016-10-01-swagger.yaml,c_min_ops,only_1_ops
S1:azure.com-keyvault-providers-2018-02-14-preview-swagger.yaml,c_min_ops,only_1_ops
