clean_file,title,provider,source,n_operations,n_tags,tags,n_path_roots,path_roots,pct_described,info_description
S2__sms77.io__1.0.0__openapi.yaml,seven.io API,sms77.io,S2,15,10,analytics|balance|contacts|hooks|lookup|pricing|sms|status|validate_for_voice|voice,9,analytics|balance|contacts|hooks|lookup|pricing|sms|validate_for_voice|voice,0,seven.io Swagger API. Get your API-Key now at seven.io.
S1__azure.com-reservations-2019-04-01-swagger.yaml,Azure Reservation,azure.com,S1,14,10,"AppliedReservation|ApplyScope|Catalog|Operation|Reservation|Reservation, AvailableScopes|Reservation, Calculate|Reservation, Merge|Reservation, Purchase|Reservation, Split",2,providers|subscriptions,93,This API describe Azure Reservation
S1__whapi.com-accounts-2.0.0-swagger.yaml,Accounts,whapi.com,S1,9,10,Accounts|Card Number|Lost|Omni|PIN|Phone|Plus Card|Stolen|Wallet|flags,1,account,100,The Accounts API is a collection of methods used to query a customer account. It allows the developer to retrieve account-related data such as the user account balance. It should be noted that regional variations may exist - so some fields may not be returned for certain territories.
S2__whapi.com__accounts__2.0.0__swagger.yaml,Accounts API,whapi.com,S2,9,10,Accounts|Card Number|Lost|Omni|PIN|Phone|Plus Card|Stolen|Wallet|flags,1,account,100,The Accounts API is a collection of methods used to query a customer account. It allows the developer to retrieve account-related data such as the user account balance. It should be noted that regional variations may exist - so some fields may not be returned for certain territories.
S2__vtex.local__Orders-API__1.0__openapi.yaml,Orders API,vtex.local,S2,28,11,Change seller|Conversation|Export order report|Feed v2 (deprecated)|Feed v3|Invoice|Order hook|Orders|Payment|Tracking|User orders,1,api,100,>Check the new [Orders onboarding guide](https://developers.vtex.com/docs/guides/orders-overview). We created this guide to improve the onboarding experience for developers at VTEX. It assembles all documentation on our Developer Portal about Orders and is organized by focusing on the developer's jo
S1__gov.bc.ca-news-1.0-openapi.yaml,BC Gov News API Service 1.0,gov.bc.ca,S1,27,11,FacebookPosts|Home|Ministries|Newsletters|Posts|ResourceLinks|Sectors|Services|Slides|Tags|Themes,1,api,0,News API
S2__wikipathways.org__1.0__openapi.yaml,WikiPathways Webservices,wikipathways.org,S2,27,11,All functions|Curation tags|Download|History|Ontology tags|Organism list|Pathway information|Pathway list|Search|User management|Write (create/update/delete),27,createpathway|findinteractions|findpathwaysbyliterature|findpathwaysbytext|findpathwaysbyxref|getcoloredpathway|getcurationtaghistory|getcurationtags|getcurationtagsbyname|getontologytermsbypathway|getpathway|getpathwayas,100,
S1__azure.com-containerregistry-2019-08-15-preview-swagger.yaml,Azure Container Registry,azure.com,S1,25,11,AccessToken|AcrManifest|AcrMetadata|AcrRepository|AcrTag|AcrToken|Layer|Manifest|RefreshToken|userLogin|v2,3,acr|oauth2|v2,100,Metadata API definition for the Azure Container Registry runtime
S2__ndhm.gov.in__ndhm-cm__0.5__openapi.yaml,Health Data Consent Manager,ndhm.gov.in,S2,22,11,consent|data flow|discovery|hip facing|hiu facing|identification|link|monitoring|profile|subscriptions|user auth,1,v0.5,95,"Entity which provides health information aggregation services to customers of health care services. It enables customers to fetch their health information from one or more Health Information Providers (e.g., Hospitals, Diagnostic Labs, Medical Device Companies), based on their explicit Consent and t"
S1__opentrials.local-0.0.1-swagger.yaml,OpenTrials,opentrials.local,S1,17,11,conditions|document_categories|documents|fda_applications|interventions|organisations|persons|publications|search|sources|trials,11,conditions|document_categories|documents|fda_applications|interventions|organisations|persons|publications|search|sources|trials,100,
S2__opentrials.local__0.0.1__swagger.yaml,OpenTrials API,opentrials.local,S2,17,11,conditions|document_categories|documents|fda_applications|interventions|organisations|persons|publications|search|sources|trials,11,conditions|document_categories|documents|fda_applications|interventions|organisations|persons|publications|search|sources|trials,100,
S2__twilio.com__twilio_insights_v1__1.55.0__openapi.yaml,Twilio - Insights,twilio.com,S2,17,11,InsightsV1Annotation|InsightsV1Call|InsightsV1CallSummaries|InsightsV1CallSummary|InsightsV1Conference|InsightsV1ConferenceParticipant|InsightsV1Event|InsightsV1Metric|InsightsV1Participant|InsightsV1Room|InsightsV1Setting,1,v1,94,This is the public Twilio REST API.
S2__mastercard.com__masterpassqr__V1__swagger.yaml,Send Person to Merchant,mastercard.com,S2,15,11,Digital Account Reference Number|Digital Account Reference Number Retrieval|Funding|Funding Reversal|Merchant Refund|Merchant Retrieval|Merchant Transfer - Funding and Payment|Merchant Transfer - Payment|Test Payment Notification|Test Refund Notification|Transfer Notification Registration,1,send,100,
S1__azure.com-mariadb-2018-06-01-swagger.yaml,MariaDBManagementClient,azure.com,S1,29,12,CheckNameAvailability|Configurations|Databases|FirewallRules|LocationBasedPerformanceTier|LogFiles|Operations|Replicas|ServerRestart|ServerSecurityAlertPolicies|Servers|VirtualNetworkRules,2,providers|subscriptions,100,"The Microsoft Azure management API provides create, read, update, and delete functionality for Azure MariaDB resources including servers, databases, firewall rules, VNET rules, log files and configurations with new business model."
S1__azure.com-mysql-2017-12-01-swagger.yaml,MySQLManagementClient,azure.com,S1,29,12,CheckNameAvailability|Configurations|Databases|FirewallRules|LocationBasedPerformanceTier|LogFiles|Operations|Replicas|ServerRestart|ServerSecurityAlertPolicies|Servers|VirtualNetworkRules,2,providers|subscriptions,100,"The Microsoft Azure management API provides create, read, update, and delete functionality for Azure MySQL resources including servers, databases, firewall rules, VNET rules, log files and configurations with new business model."
S1__azure.com-postgresql-2017-12-01-swagger.yaml,PostgreSQLManagementClient,azure.com,S1,29,12,CheckNameAvailability|Configurations|Databases|FirewallRules|LocationBasedPerformanceTier|LogFiles|Operations|Replicas|ServerRestart|ServerSecurityAlertPolicies|Servers|VirtualNetworkRules,2,providers|subscriptions,100,"The Microsoft Azure management API provides create, read, update, and delete functionality for Azure PostgreSQL resources including servers, databases, firewall rules, VNET rules, security alert policies, log files and configurations with new business model."
S2__openbanking.org.uk__account-info-openapi__3.1.7__openapi.yaml,Account and Transaction API Specification,openbanking.org.uk,S2,29,12,Account Access|Accounts|Balances|Beneficiaries|Direct Debits|Offers|Parties|Products|Scheduled Payments|Standing Orders|Statements|Transactions,12,account-access-consents|accounts|balances|beneficiaries|direct-debits|offers|party|products|scheduled-payments|standing-orders|statements|transactions,0,Swagger for Account and Transaction API Specification
S1__warwick.ac.uk-enterobase-v2.0-swagger.yaml,Enterobase-API,warwick.ac.uk,S1,26,12,Alleles|Assemblies|Info|Loci|Login|Lookup|Schemes|Straindata|Strains|Strainsversion|Sts|Traces,1,api,100,"API for EnteroBase (http://enterobase.warwick.ac.uk) EnteroBase is a user-friendly online resource, where users can upload their own sequencing data for de novo assembly by a stream-lined pipeline. The assemblies are used for calling MLST and wgMLST patterns, allowing users to compare their strains "
S2__corrently.io__2.0.0__openapi.yaml,Corrently.io,corrently.io,S2,26,12,Dispatch (Green Energy Distribution API)|GreenPowerIndex (GrünstromIndex)|Metering (Decorator)|OCPP|OpenMETER|SmartHome|Strom-Quittung|Stromkonto (Ledger)|TSE|Tariff (Price API)|WiM (Wechselprozesse im Messwesen Strom - Status API)|easee,7,alternative|gsi|metering|quittung|stromkonto|tariff|wim,100,"*Corrently - from italian corrente, which is energy* # Introduction The Corrently ecosystem gets maintained by [STROMDAO GmbH](https://www.stromdao.de/) to support green energy services for prosumers, grid operators, regulators, integrators or any other party with an emerging need of consensus drive"
S2__warwick.ac.uk__enterobase__v2.0__openapi.yaml,Enterobase-API,warwick.ac.uk,S2,26,12,Alleles|Assemblies|Info|Loci|Login|Lookup|Schemes|Straindata|Strains|Strainsversion|Sts|Traces,1,api,100,"API for EnteroBase (https://enterobase.warwick.ac.uk) EnteroBase is a user-friendly online resource, where users can upload their own sequencing data for de novo assembly by a stream-lined pipeline. The assemblies are used for calling MLST and wgMLST patterns, allowing users to compare their strains"
S1__azure.com-consumption-2019-06-01-swagger.yaml,ConsumptionManagementClient,azure.com,S1,25,12,AggregatedCost|Balances|Budgets|Charges|Forecasts|Marketplaces|Operations|PriceSheet|ReservationRecommendations|ReservedInstances|Tags|UsageDetails,2,providers|subscriptions,100,Consumption management client provides access to consumption resources for Azure Enterprise Subscriptions.
S1__infermedica.com-v2-swagger.yaml,Infermedica,infermedica.com,S1,16,12,conditions|diagnosis|explain|info|lab_tests|lookup|parse|risk_factors|search|suggest|symptoms|triage,12,conditions|diagnosis|explain|info|lab_tests|lookup|parse|risk_factors|search|suggest|symptoms|triage,100,Empower your healthcare services with intelligent diagnostic insights of Infermedica API.
S1__azure.com-recoveryservicesbackup-bms-2017-07-01-swagger.yaml,RecoveryServicesBackupClient,azure.com,S1,15,12,BackupJobs|BackupPolicies|BackupProtectedItems|BackupProtectionIntent|BackupStatus|BackupUsageSummaries|ExportJobsOperationResults|FeatureSupport|JobDetails|Jobs|Operation|ProtectionIntent,1,subscriptions,80,
S1__isendpro.com-1.1.1-swagger.yaml,API iSendPro,isendpro.com,S1,14,12,add shortlink|add subaccount|campagne|comptage|credit|delListeNoire|edit subaccount|getListeNoire|hlr|repertoire|setListeNoire|sms,12,campagne|comptage|credit|dellistenoire|getlistenoire|hlr|repertoire|setlistenoire|shortlink|sms|smsmulti|subaccount,100,"[1] Liste des fonctionnalités : - envoi de SMS à un ou plusieurs destinataires, - lookup HLR, - récupération des récapitulatifs de campagne, - gestion des répertoires, - ajout en liste noire. - comptage du nombre de caractères des SMS [2] Pour utiliser cette API vous devez: - Créer un compte iSendPr"
S2__mastercard.com__open-banking-connect-pis__1.16.0__swagger.yaml,Open Banking - Payments initiation service,mastercard.com,S2,12,12,ASPSPs|Cross border Payments|Cross border Payments Consent|Cross border Payments Status|Domestic Payments|Domestic Payments Consent|Domestic Payments Status|Health|PI Consents Raw|SEPA Payments|SEPA Payments Consent|SEPA Payments Status,1,payments,75,Open Banking - Payments initiation service
S1__collegefootballdata.com-1.5.0-swagger.yaml,College Football Data,collegefootballdata.com,S1,30,13,betting|coaches|conferences|drives|games|metrics|plays|rankings|ratings|recruiting|stats|teams,17,coaches|conferences|drives|games|lines|metrics|play|plays|ppa|rankings|ratings|recruiting,100,This is an API for accessing all sorts of college football data. It currently has a wide array of data ranging from play by play to player statistics to game scores and more.
S2__ebi.ac.uk__1.0__swagger.yaml,CROssBAR Data API,ebi.ac.uk,S2,13,13,Activities|Assays|Drugs|EFO disease terms|HPO|Intact|Molecules|Proteins|PubChem Bioassay Sids|PubChem Biossays|PubChem Compounds|PubChem Substances,10,activities|assays|drugs|efo|hpo|intact|molecules|proteins|pubchem|targets,0,"# About CROssBAR & data **CROssBAR**: Comprehensive Resource of Biomedical Relations with Deep Learning Applications and Knowledge Graph Representations CROssBAR is a comprehensive system that integrates large-scale biomedical data from various resources e.g UniProt, ChEMBL, Drugbank, EFO, HPO, Inte"
S2__infermedica.com__v2__swagger.yaml,Infermedica API,infermedica.com,S2,20,15,concepts|conditions|diagnosis|explain|info|lab_tests|lookup|parse|rationale|red_flags|risk_factors|search,15,concepts|conditions|diagnosis|explain|info|lab_tests|lookup|parse|rationale|red_flags|risk_factors|search,90,Empower your healthcare services with intelligent diagnostic insights of Infermedica API.
S1__setlist.fm-1.0-swagger.yaml,setlist.fm,setlist.fm,S1,15,15,/1.0/artist/{mbid}|/1.0/artist/{mbid}/setlists|/1.0/city/{geoId}|/1.0/search/artists|/1.0/search/cities|/1.0/search/countries|/1.0/search/setlists|/1.0/search/venues|/1.0/setlist/version/{versionId}|/1.0/setlist/{setlistId}|/1.0/user/{userId}|/1.0/user/{userId}/attended,1,1.0,100,"<p> The setlist.fm API has been designed to give you easy access to setlist data in order to build fancy websites and other applications. Before starting to use the API, be sure to ... <ol> <li>... understand how setlist.fm works (the <a href=""https://www.setlist.fm/faq"">FAQ</a> and the <a href=""htt"
S2__mastercard.com__MDES__2.0.7__swagger.yaml,MDES Customer Service,mastercard.com,S2,15,15,Account Holder Messaging|Search|System Status|Token Activate|Token Activation Methods|Token Comments|Token Delete|Token Resend Activation Code|Token Reset Mobile PIN|Token Status History|Token Suspend|Token Unsuspend,6,accountholdermessaging|search|systemstatus|token|transactions|updatetokenassurance,100,This API provides our Issuer partners with resources to help resolve consumer queries about payment accounts enabled through our digitization platform.
S2__setlist.fm__1.0__swagger.yaml,setlist.fm API,setlist.fm,S2,15,15,/1.0/artist/{mbid}|/1.0/artist/{mbid}/setlists|/1.0/city/{geoId}|/1.0/search/artists|/1.0/search/cities|/1.0/search/countries|/1.0/search/setlists|/1.0/search/venues|/1.0/setlist/version/{versionId}|/1.0/setlist/{setlistId}|/1.0/user/{userId}|/1.0/user/{userId}/attended,1,1.0,100,"<p> The setlist.fm API has been designed to give you easy access to setlist data in order to build fancy websites and other applications. Before starting to use the API, be sure to ... <ol> <li>... understand how setlist.fm works (the <a href=""https://www.setlist.fm/faq"">FAQ</a> and the <a href=""htt"
S2__paylocity.com__2__openapi.yaml,Paylocity API,paylocity.com,S2,30,16,Additional Rates|Client Credentials|Company Codes|Company-Specific Schema|Custom Fields|Direct Deposit|Earnings|Emergency Contacts|Employee|Employee Benefit Setup|Employee Staging|Local Taxes,1,v2,100,"For general questions and support of the API, contact: webservices@paylocity.com # Overview Paylocity Web Services API is an externally facing RESTful Internet protocol. The Paylocity API uses HTTP verbs and a RESTful endpoint structure. OAuth 2.0 is used as the API Authorization framework. Request "
S1__yunbi.com-v2-swagger.yaml,Yunbi,yunbi.com,S1,22,16,addresses|deposit|deposit_address|deposits|depth|k|k_with_pending_trades|markets|members|order|order_book|orders,1,v2,0,Professional Cloud Trading Platform for Digital Assets
S1__etmdb.com-1.0.0-swagger.yaml,EtMDB REST API v1,etmdb.com,S1,27,18,cinema|cinema-detail|cinema-schedule|cinema-shedule-showtime|company|company-credits|filmography|filmography-type|genre|genre-type|job|media,1,api,100,The Ethiopian Movie Database
S2__surevoip.co.uk__9dcb0dc8__openapi.yaml,The SureVoIP RESTful API,surevoip.co.uk,S2,28,19,announcements|areacodes|billing|calls|charges|contacts|customers|echo|faxes|global|hosted|mobile,19,announcements|areacodes|billing|calls|charges|contacts|customers|faxes|hosted|ip-address|mobile|numbers,4,"# Introduction Welcome to the SureVoIP RESTful hypermedia API (sometimes known as a VoIP REST API, Telecom REST API, SIP API, Hypermedia API or just VoIP API.) The SureVoIP API is a way for you to automate your interaction with the SureVoIP platforms. With the API, you can create your own scripts, a"
